IPR011545	DEAD/DEAH box helicase domain
IPR001236	Lactate/malate dehydrogenase, N-terminal
IPR006867	Domain of unknown function DUF632
IPR006868	Domain of unknown function DUF630
IPR016061	Proline-tRNA ligase, class II, C-terminal
IPR004154	Anticodon-binding
IPR002316	Proline-tRNA ligase, class IIa
IPR002316	Proline-tRNA ligase, class IIa
IPR002316	Proline-tRNA ligase, class IIa
IPR002316	Proline-tRNA ligase, class IIa
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type
IPR006195	Aminoacyl-tRNA synthetase, class II
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)
IPR040463	BAP29/BAP31, transmembrane domain
IPR003388	Reticulon
IPR003388	Reticulon
IPR005749	Ribosomal protein L15, bacterial-type
IPR021131	Ribosomal protein L18e/L15P
IPR000620	EamA domain
IPR000620	EamA domain

IPR013087	Zinc finger C2H2-type
IPR033121	Peptidase family A1 domain
IPR032861	Xylanase inhibitor, N-terminal
IPR032799	Xylanase inhibitor, C-terminal
IPR001461	Aspartic peptidase A1 family
IPR001461	Aspartic peptidase A1 family
IPR001461	Aspartic peptidase A1 family
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
IPR001810	F-box domain
IPR017451	F-box associated interaction domain
IPR001810	F-box domain
IPR008914	Phosphatidylethanolamine-binding protein
IPR000608	Ubiquitin-conjugating enzyme E2
IPR000608	Ubiquitin-conjugating enzyme E2
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR032867	DYW domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR019587	Polyketide cyclase/dehydrase
IPR004241	Autophagy protein Atg8 ubiquitin-like
IPR012901	N2227-like
IPR002562	3'-5' exonuclease domain
IPR008669	LSM-interacting domain
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR025558	Domain of unknown function DUF4283
IPR001289	Nuclear transcription factor Y subunit A
IPR001289	Nuclear transcription factor Y subunit A
IPR001289	Nuclear transcription factor Y subunit A
IPR001289	Nuclear transcription factor Y subunit A
IPR012442	Protein of unknown function DUF1645, plant
IPR008166	Glycosyltransferase family 92
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR000850	Adenylate kinase/UMP-CMP kinase
IPR000850	Adenylate kinase/UMP-CMP kinase
IPR000850	Adenylate kinase/UMP-CMP kinase
IPR000850	Adenylate kinase/UMP-CMP kinase
IPR000850	Adenylate kinase/UMP-CMP kinase
IPR006266	UMP-CMP kinase

IPR003010	Carbon-nitrogen hydrolase
IPR003010	Carbon-nitrogen hydrolase
IPR010675	RNA methyltransferase bin3, C-terminal
IPR024160	Bin3-type S-adenosyl-L-methionine binding domain

IPR004316	SWEET sugar transporter
IPR004316	SWEET sugar transporter
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR019378	GDP-fucose protein O-fucosyltransferase
IPR005804	Fatty acid desaturase domain
IPR000504	RNA recognition motif domain
IPR002075	Nuclear transport factor 2
IPR018222	Nuclear transport factor 2, eukaryote
IPR000504	RNA recognition motif domain
IPR012876	Protein of unknown function DUF1677, plant
IPR028009	N-acetyltransferase ESCO, acetyl-transferase domain
IPR028005	N-acetyltransferase ESCO, zinc-finger
IPR001087	GDSL lipase/esterase
IPR005828	Major facilitator,  sugar transporter-like
IPR005828	Major facilitator,  sugar transporter-like
IPR020846	Major facilitator superfamily domain
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR001005	SANT/Myb domain
IPR017930	Myb domain
IPR006447	Myb domain, plants
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase
IPR004839	Aminotransferase, class I/classII








IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR011611	Carbohydrate kinase PfkB
IPR011611	Carbohydrate kinase PfkB
IPR002139	Ribokinase/fructokinase
IPR002139	Ribokinase/fructokinase
IPR002139	Ribokinase/fructokinase
IPR001202	WW domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR002030	Mitochondrial carrier UCP-like
IPR002030	Mitochondrial carrier UCP-like
IPR002030	Mitochondrial carrier UCP-like
IPR002030	Mitochondrial carrier UCP-like
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR006015	Universal stress protein A family
IPR006015	Universal stress protein A family
IPR006015	Universal stress protein A family
IPR006016	UspA
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR003480	Transferase
IPR022644	Orn/DAP/Arg decarboxylase 2, N-terminal
IPR002986	Diaminopimelate decarboxylase, LysA
IPR002986	Diaminopimelate decarboxylase, LysA
IPR002986	Diaminopimelate decarboxylase, LysA
IPR002986	Diaminopimelate decarboxylase, LysA
IPR022643	Orn/DAP/Arg decarboxylase 2, C-terminal
IPR000183	Ornithine/DAP/Arg decarboxylase
IPR000183	Ornithine/DAP/Arg decarboxylase
IPR000183	Ornithine/DAP/Arg decarboxylase
IPR000183	Ornithine/DAP/Arg decarboxylase
IPR002986	Diaminopimelate decarboxylase, LysA
IPR041577	Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain
IPR007770	Protein DMP
IPR002487	Transcription factor, K-box
IPR002487	Transcription factor, K-box
IPR008914	Phosphatidylethanolamine-binding protein
IPR020846	Major facilitator superfamily domain
IPR011701	Major facilitator superfamily
IPR006153	Cation/H+ exchanger
IPR004709	Na+/H+ exchanger
IPR004709	Na+/H+ exchanger
IPR004709	Na+/H+ exchanger
IPR006747	Protein of unknown function DUF599
IPR006045	Cupin 1
IPR001929	Germin
IPR001929	Germin
IPR001929	Germin
IPR000757	Glycoside hydrolase family 16
IPR010713	Xyloglucan endo-transglycosylase, C-terminal
IPR000757	Glycoside hydrolase family 16
IPR041577	Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain
IPR005123	Oxoglutarate/iron-dependent dioxygenase


IPR005123	Oxoglutarate/iron-dependent dioxygenase
IPR026992	Non-haem dioxygenase N-terminal domain
IPR002495	Glycosyl transferase, family 8
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR000504	RNA recognition motif domain
IPR001841	Zinc finger, RING-type
IPR000504	RNA recognition motif domain

IPR000182	GNAT domain
IPR000717	Proteasome component (PCI) domain
IPR005062	SAC3/GANP/THP3




IPR002182	NB-ARC
IPR001932	PPM-type phosphatase domain
IPR001932	PPM-type phosphatase domain
IPR001932	PPM-type phosphatase domain
IPR006459	Casparian strip membrane protein
IPR006702	Casparian strip membrane protein domain
IPR013525	ABC-2 type transporter
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like

IPR000210	BTB/POZ domain
IPR000210	BTB/POZ domain
IPR027356	NPH3 domain
IPR027356	NPH3 domain
IPR004827	Basic-leucine zipper domain
IPR004827	Basic-leucine zipper domain
IPR003245	Phytocyanin domain
IPR003245	Phytocyanin domain
IPR012948	AARP2CN
IPR030387	Bms1/Tsr1-type G domain
IPR007034	Ribosome biogenesis protein BMS1/TSR1, C-terminal
IPR032799	Xylanase inhibitor, C-terminal
IPR001461	Aspartic peptidase A1 family
IPR001461	Aspartic peptidase A1 family
IPR001461	Aspartic peptidase A1 family
IPR032861	Xylanase inhibitor, N-terminal
IPR033121	Peptidase family A1 domain
IPR008811	Glycosyl hydrolases 36
IPR000223	Peptidase S26A, signal peptidase I
IPR000223	Peptidase S26A, signal peptidase I
IPR000223	Peptidase S26A, signal peptidase I
IPR000223	Peptidase S26A, signal peptidase I
IPR019533	Peptidase S26
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type
IPR022796	Chlorophyll A-B binding protein
IPR019378	GDP-fucose protein O-fucosyltransferase
IPR003653	Ulp1 protease family, C-terminal catalytic domain
IPR031691	Lipoyl synthase, N-terminal
IPR003698	Lipoyl synthase
IPR007197	Radical SAM
IPR003245	Phytocyanin domain
IPR003245	Phytocyanin domain
IPR002562	3'-5' exonuclease domain
IPR002121	HRDC domain
IPR007676	Ribophorin I
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like
IPR003439	ABC transporter-like
IPR011527	ABC transporter type 1, transmembrane domain
IPR011527	ABC transporter type 1, transmembrane domain
IPR003439	ABC transporter-like
IPR011527	ABC transporter type 1, transmembrane domain
IPR011527	ABC transporter type 1, transmembrane domain
IPR002782	Mut7-C RNAse domain
IPR002562	3'-5' exonuclease domain
IPR007330	MIT
IPR015415	Vps4 oligomerisation, C-terminal
IPR003959	ATPase, AAA-type, core
IPR000398	Thymidylate synthase
IPR000398	Thymidylate synthase
IPR000398	Thymidylate synthase
IPR000398	Thymidylate synthase
IPR000398	Thymidylate synthase
IPR001796	Dihydrofolate reductase domain
IPR000398	Thymidylate synthase
IPR001796	Dihydrofolate reductase domain
IPR023451	Thymidylate synthase/dCMP hydroxymethylase domain
IPR001594	Palmitoyltransferase, DHHC domain

IPR006948	Alliinase, C-terminal
IPR005202	Transcription factor GRAS
IPR005202	Transcription factor GRAS
IPR041569	AAA ATPase, AAA+ lid domain
IPR003959	ATPase, AAA-type, core
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR009737	Thioredoxin-like ferredoxin
IPR005202	Transcription factor GRAS
IPR005202	Transcription factor GRAS
IPR023631	Amidase signature domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR032423	AAA C-terminal domain
IPR003959	ATPase, AAA-type, core
IPR015940	Ubiquitin-associated domain
IPR021886	MgsA AAA+ ATPase C-terminal
IPR001005	SANT/Myb domain
IPR017884	SANT domain
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR006654	Tryptophan synthase, beta chain
IPR001926	Pyridoxal-phosphate dependent enzyme
IPR026960	Reverse transcriptase zinc-binding domain
IPR006702	Casparian strip membrane protein domain
IPR028061	Fis1, C-terminal tetratricopeptide repeat
IPR028058	Fis1, N-terminal tetratricopeptide repeat




IPR005123	Oxoglutarate/iron-dependent dioxygenase
IPR005123	Oxoglutarate/iron-dependent dioxygenase
IPR026992	Non-haem dioxygenase N-terminal domain
IPR013103	Reverse transcriptase, RNA-dependent DNA polymerase
IPR000182	GNAT domain
IPR000182	GNAT domain
IPR012442	Protein of unknown function DUF1645, plant
IPR006043	Xanthine/uracil/vitamin C permease
IPR002528	Multi antimicrobial extrusion protein
IPR002528	Multi antimicrobial extrusion protein
IPR002528	Multi antimicrobial extrusion protein
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR032867	DYW domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001810	F-box domain
IPR001810	F-box domain
IPR003035	RWP-RK domain
IPR003035	RWP-RK domain
IPR000270	PB1 domain
IPR000270	PB1 domain
IPR015202	Galactose oxidase-like, Early set domain
IPR009880	Glyoxal oxidase, N-terminal
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR004837	Sodium/calcium exchanger membrane region
IPR004837	Sodium/calcium exchanger membrane region
IPR002048	EF-hand domain
IPR021151	GINS subunit, domain A
IPR014284	RNA polymerase sigma-70 like domain
IPR007627	RNA polymerase sigma-70 region 2
IPR007624	RNA polymerase sigma-70 region 3
IPR000943	RNA polymerase sigma-70
IPR000943	RNA polymerase sigma-70
IPR000943	RNA polymerase sigma-70
IPR000943	RNA polymerase sigma-70
IPR000943	RNA polymerase sigma-70
IPR007630	RNA polymerase sigma-70 region 4
IPR009332	Mediator of RNA polymerase II transcription subunit 22
IPR010420	CASTOR/POLLUX/SYM8 ion channels
IPR001841	Zinc finger, RING-type
IPR025287	Wall-associated receptor kinase, galacturonan-binding domain
IPR001841	Zinc finger, RING-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR000967	Zinc finger, NF-X1-type
IPR004000	Actin family
IPR004000	Actin family
IPR004000	Actin family
IPR004000	Actin family
IPR004000	Actin family
IPR004000	Actin family
IPR004000	Actin family
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR000209	Peptidase S8/S53 domain
IPR041469	Subtilisin-like protease, fibronectin type-III domain
IPR003137	PA domain
IPR010259	Peptidase S8 propeptide/proteinase inhibitor I9
IPR015500	Peptidase S8, subtilisin-related
IPR015500	Peptidase S8, subtilisin-related
IPR015500	Peptidase S8, subtilisin-related
IPR004045	Glutathione S-transferase, N-terminal
IPR010987	Glutathione S-transferase, C-terminal-like
IPR004045	Glutathione S-transferase, N-terminal

IPR010409	GAGA-binding transcriptional activator
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001926	Pyridoxal-phosphate dependent enzyme
IPR005856	Cysteine synthase
IPR005859	Cysteine synthase CysK
IPR015419	CTAG/Pcc1 family
IPR021920	Protein of unknown function DUF3531
IPR007527	Zinc finger, SWIM-type
IPR025558	Domain of unknown function DUF4283

IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR005475	Transketolase-like, pyrimidine-binding domain
IPR011603	2-oxoglutarate dehydrogenase E1 component
IPR001017	Dehydrogenase, E1 component
IPR032106	2-oxoglutarate dehydrogenase E1 component, N-terminal domain
IPR031717	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal
IPR017887	Transcription factor TCP subgroup
IPR017887	Transcription factor TCP subgroup
IPR007233	Trafficking protein particle complex subunit
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR005024	Snf7 family
IPR005578	Yif1 family
IPR000056	Ribulose-phosphate 3-epimerase-like
IPR000056	Ribulose-phosphate 3-epimerase-like
IPR007146	Sas10/Utp3/C1D
IPR010666	Zinc finger, GRF-type
IPR004015	SKI-interacting protein SKIP, SNW domain
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain


IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1


IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR000719	Protein kinase domain
IPR025875	Leucine rich repeat 4
IPR002156	Ribonuclease H domain
IPR002156	Ribonuclease H domain
IPR004827	Basic-leucine zipper domain
IPR004827	Basic-leucine zipper domain
IPR037595	Reversibly glycosylated polypeptide family
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR032867	DYW domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR016040	NAD(P)-binding domain




IPR001849	Pleckstrin homology domain
IPR001849	Pleckstrin homology domain
IPR002913	START domain
IPR009769	Protein ENHANCED DISEASE RESISTANCE 2, C-terminal
IPR002913	START domain
IPR000109	Proton-dependent oligopeptide transporter family
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR001220	Legume lectin domain
IPR005202	Transcription factor GRAS
IPR005202	Transcription factor GRAS
IPR027329	TPX2, C-terminal
IPR032698	Protein SirB1, N-terminal
IPR006652	Kelch repeat type 1
IPR006652	Kelch repeat type 1
IPR007290	Arv1 protein
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR003676	Small auxin-up RNA
IPR031330	Glycoside hydrolase 35, catalytic domain
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain
IPR041392	Beta-galactosidase, beta-sandwich domain
IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain
IPR006447	Myb domain, plants
IPR025756	MYB-CC type transcription factor, LHEQLE-containing domain
IPR001005	SANT/Myb domain
IPR010409	GAGA-binding transcriptional activator
IPR001932	PPM-type phosphatase domain
IPR001932	PPM-type phosphatase domain
IPR041577	Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain
IPR041118	Rx, N-terminal
IPR002182	NB-ARC
IPR021929	Late blight resistance protein R1




IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000719	Protein kinase domain
IPR003480	Transferase
IPR013601	FAE1/Type III polyketide synthase-like protein
IPR013747	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal
IPR004776	Membrane transport protein
IPR014024	Auxin efflux carrier, plant type
IPR012001	Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain
IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
IPR012000	Thiamine pyrophosphate enzyme, central domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001025	Bromo adjacent homology (BAH) domain
IPR001525	C-5 cytosine methyltransferase
IPR001025	Bromo adjacent homology (BAH) domain
IPR001025	Bromo adjacent homology (BAH) domain
IPR001025	Bromo adjacent homology (BAH) domain
IPR001525	C-5 cytosine methyltransferase
IPR001525	C-5 cytosine methyltransferase
IPR001525	C-5 cytosine methyltransferase
IPR001525	C-5 cytosine methyltransferase
IPR022702	DNA (cytosine-5)-methyltransferase 1, replication foci domain
IPR022702	DNA (cytosine-5)-methyltransferase 1, replication foci domain
IPR001525	C-5 cytosine methyltransferase
IPR009721	O-acyltransferase WSD1, C-terminal
IPR004255	O-acyltransferase, WSD1, N-terminal
IPR019396	Transmembrane Fragile-X-F-associated protein
IPR001841	Zinc finger, RING-type

IPR000711	ATPase, OSCP/delta subunit
IPR000711	ATPase, OSCP/delta subunit
IPR000711	ATPase, OSCP/delta subunit
IPR000711	ATPase, OSCP/delta subunit
IPR000711	ATPase, OSCP/delta subunit
IPR000711	ATPase, OSCP/delta subunit
IPR000711	ATPase, OSCP/delta subunit
IPR000467	G-patch domain
IPR000467	G-patch domain
IPR025558	Domain of unknown function DUF4283
IPR035075	PRMT5 arginine-N-methyltransferase
IPR035247	PRMT5, TIM barrel domain
IPR035248	PRMT5, oligomerisation domain
IPR025799	Protein arginine N-methyltransferase
IPR000109	Proton-dependent oligopeptide transporter family
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000719	Protein kinase domain
IPR028565	Mu homology domain
IPR028565	Mu homology domain
IPR025846	PMR5 N-terminal domain
IPR026057	PC-Esterase

IPR008176	Defensin, plant
IPR008176	Defensin, plant
IPR013810	Ribosomal protein S5, N-terminal
IPR005324	Ribosomal protein S5, C-terminal
IPR013810	Ribosomal protein S5, N-terminal
IPR005711	Ribosomal protein S5, eukaryotic/archaeal
IPR013057	Amino acid transporter, transmembrane domain
IPR010865	Protein of unknown function DUF1499
IPR025558	Domain of unknown function DUF4283
IPR023801	Histone deacetylase domain
IPR003084	Histone deacetylase
IPR003084	Histone deacetylase
IPR003084	Histone deacetylase
IPR003084	Histone deacetylase
IPR003084	Histone deacetylase
IPR003084	Histone deacetylase
IPR003084	Histone deacetylase
IPR000286	Histone deacetylase family
IPR000286	Histone deacetylase family
IPR000286	Histone deacetylase family
IPR000210	BTB/POZ domain
IPR002083	MATH/TRAF domain
IPR000210	BTB/POZ domain
IPR005174	Domain unknown function DUF295

IPR006652	Kelch repeat type 1
IPR021419	Mediator complex, subunit Med25, von Willebrand factor type A
IPR008889	VQ
IPR002659	Glycosyl transferase, family 31
IPR005475	Transketolase-like, pyrimidine-binding domain
IPR033248	Transketolase, C-terminal domain
IPR024937	Domain X
IPR000477	Reverse transcriptase domain
IPR025558	Domain of unknown function DUF4283
IPR001611	Leucine-rich repeat
IPR024788	Malectin-like domain
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
