Solyc01g111145.1.1	NIOBTv3_g31399
Solyc12g014010.2.1	NIOBTv3_g32894
Solyc01g112260.3.1	NIOBTv3_g06005
Solyc01g079370.3.1	NIOBTv3_g07865
Solyc04g055050.1.1	NIOBTv3_g21218
Solyc06g051860.3.1	NIOBTv3_g06366
Solyc09g014310.3.1	NIOBTv3_g36950
Solyc07g065900.3.1	NIOBTv3_g22759
Solyc01g105760.1.1	NIOBTv3_g09222-D2
Solyc08g005830.1.1	NIOBTv3_g26797
Solyc08g065780.2.1	NIOBTv3_g29208
Solyc01g109500.3.1	NIOBTv3_g31074
Solyc01g067300.3.1	NIOBTv3_g32591
Solyc03g034375.1.1	NIOBTv3_g14756-D2
Solyc02g086430.3.1	NIOBTv3_g11953
Solyc04g082860.2.1	NIOBTv3_g09834
Solyc02g069450.3.1	NIOBTv3_g36554
Solyc12g008440.1.1	NIOBTv3_g41488
Solyc07g054290.1.1	NIOBTv3_g40350
Solyc02g078590.1.1	NIOBTv3_g03902
Solyc06g064940.3.1	NIOBTv3_g34252
Solyc01g107780.3.1	NIOBTv3_g34877
Solyc06g075550.3.1	NIOBTv3_g35949
Solyc02g089250.3.1	NIOBTv3_g15455
Solyc12g056960.2.1	NIOBTv3_g03270
Solyc02g078670.3.1	NIOBTv3_g27275
Solyc12g010360.2.1	NIOBTv3_g13101
Solyc06g006090.1.1	NIOBTv3_g41256
Solyc02g068490.3.1	NIOBTv3_g34854
Solyc04g079880.3.1	NIOBTv3_g05800
Solyc04g081870.3.1	NIOBTv3_g06817-D4
Solyc02g079550.2.1	NIOBTv3_g06491
Solyc04g007790.3.1	NIOBTv3_g19374
Solyc02g036480.1.1	NIOBTv3_g13806
Solyc05g009990.3.1	NIOBTv3_g38596
Solyc01g081570.3.1	NIOBTv3_g41394
Solyc09g011550.2.1	NIOBTv3_g39301
Solyc01g109120.3.1	NIOBTv3_g08097
Solyc06g076800.3.1	NIOBTv3_g24652
Solyc02g036480.1.1	NIOBTv3_g13806
Solyc02g014830.3.1	NIOBTv3_g03894
Solyc01g108360.3.1	NIOBTv3_g31410
Solyc04g007210.3.1	NIOBTv3_g08367
Solyc01g095170.2.1	NIOBTv3_g18714
Solyc10g006720.3.1	NIOBTv3_g27601
Solyc03g019790.3.1	NIOBTv3_g17172
Solyc12g019550.2.1	NIOBTv3_g23553
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc09g011500.3.1	NIOBTv3_g05979-D2
Solyc02g067440.3.1	NIOBTv3_g30802
Solyc06g035720.3.1	NIOBTv3_g36328
Solyc05g015420.3.1	NIOBTv3_g02174
Solyc12g006140.2.1	NIOBTv3_g03871
Solyc05g056120.3.1	NIOBTv3_g17145
Solyc09g007790.1.1	NIOBTv3_g28270
Solyc08g016500.3.1	NIOBTv3_g27466
Solyc04g078880.3.1	NIOBTv3_g23304
Solyc12g044330.2.1	NIOBTv3_g19381
Solyc07g054570.1.1	NIOBTv3_g25142
Solyc00g023470.1.1	NIOBTv3_g57231
Solyc03g025670.3.1	NIOBTv3_g43959
Solyc07g065660.3.1	NIOBTv3_g36659
Solyc08g005010.3.1	NIOBTv3_g16433
Solyc01g108910.3.1	NIOBTv3_g06131
Solyc04g054760.3.1	NIOBTv3_g13923
Solyc01g104015.1.1	NIOBTv3_g19875
Solyc07g056510.3.1	NIOBTv3_g01616
Solyc05g056070.3.1	NIOBTv3_g12650
Solyc10g085210.2.1	NIOBTv3_g02454
Solyc12g089310.2.1	NIOBTv3_g07023
Solyc10g052880.1.1	NIOBTv3_g10663
Solyc01g081060.3.1	NIOBTv3_g10844
Solyc02g064970.3.1	NIOBTv3_g28759
Solyc10g086620.2.1	NIOBTv3_g39527
Solyc08g061980.3.1	NIOBTv3_g17646
Solyc03g112860.3.1	NIOBTv3_g31087
Solyc11g069430.2.1	NIOBTv3_g27433
Solyc03g063150.3.1	NIOBTv3_g35364
Solyc04g071890.3.1	NIOBTv3_g24341
Solyc07g047740.3.1	NIOBTv3_g22317
Solyc03g006250.2.1	NIOBTv3_g40662
Solyc10g008030.3.1	NIOBTv3_g18388
Solyc01g107900.3.1	NIOBTv3_g12101
Solyc01g096670.3.1	NIOBTv3_g40676
Solyc04g074080.3.1	NIOBTv3_g31099
Solyc01g107730.3.1	NIOBTv3_g04871
Solyc04g071340.4.1	NIOBTv3_g10931
Solyc04g081880.3.1	NIOBTv3_g15379-D3
Solyc04g064540.3.1	NIOBTv3_g23394
Solyc11g066150.2.1	NIOBTv3_g31994-D2
Solyc04g040180.3.1	NIOBTv3_g29998
Solyc09g014520.3.1	NIOBTv3_g23360
Solyc01g111230.3.1	NIOBTv3_g23834
Solyc05g052600.3.1	NIOBTv3_g40254
Solyc12g094440.2.1	NIOBTv3_g18709
Solyc01g005510.3.1	NIOBTv3_g18900
Solyc04g071890.3.1	NIOBTv3_g24341
Solyc04g081100.3.1	NIOBTv3_g13921
Solyc09g074780.3.1	NIOBTv3_g35202
Solyc06g053230.3.1	NIOBTv3_g19221
Solyc12g009800.2.1	NIOBTv3_g61116
Solyc00g030510.3.1	NIOBTv3_g28811
Solyc06g065900.3.1	NIOBTv3_g15259
Solyc04g007760.3.1	NIOBTv3_g06533
Solyc08g080630.3.1	NIOBTv3_g01014
Solyc12g036170.2.1	NIOBTv3_g09757
Solyc01g100230.3.1	NIOBTv3_g07101
Solyc04g078740.2.1	NIOBTv3_g12183
Solyc10g076700.2.1	NIOBTv3_g34065
Solyc04g064690.3.1	NIOBTv3_g13322
Solyc04g082180.4.1	NIOBTv3_g57879
Solyc07g044970.1.1	NIOBTv3_g21453
Solyc04g011400.3.1	NIOBTv3_g31994
Solyc02g024010.1.1	NIOBTv3_g31734
Solyc04g055000.3.1	NIOBTv3_g10370
Solyc11g072890.1.1	NIOBTv3_g40465
Solyc06g007440.3.1	NIOBTv3_g41688
Solyc08g081690.3.1	NIOBTv3_g11967
Solyc03g031530.3.1	NIOBTv3_g35962
Solyc02g014860.3.1	NIOBTv3_g03896
Solyc12g089360.1.1	NIOBTv3_g60480-D2
Solyc02g070110.1.1	NIOBTv3_g40311
Solyc01g091690.3.1	NIOBTv3_g37254
Solyc12g099000.2.1	NIOBTv3_g20707
Solyc02g087840.3.1	NIOBTv3_g09973
Solyc06g082940.3.1	NIOBTv3_g31899
Solyc01g102580.3.1	NIOBTv3_g38784
Solyc03g117310.1.1	NIOBTv3_g19037
Solyc07g053030.3.1	NIOBTv3_g37324
Solyc06g073260.3.1	NIOBTv3_g28024
Solyc11g066490.1.1	NIOBTv3_g09087
Solyc07g054220.1.1	NIOBTv3_g03202
Solyc09g011640.4.1	NIOBTv3_g39300-D9
Solyc05g054440.3.1	NIOBTv3_g30755
Solyc07g052950.3.1	NIOBTv3_g20857
Solyc03g045070.1.1	NIOBTv3_g24037
Solyc07g065250.3.1	NIOBTv3_g09476
Solyc05g052520.3.1	NIOBTv3_g12040
Solyc01g090790.3.1	NIOBTv3_g14441
Solyc09g065890.3.1	NIOBTv3_g23668
Solyc03g113460.1.1	NIOBTv3_g33801
Solyc03g116120.2.1	NIOBTv3_g31824
Solyc12g099930.2.1	NIOBTv3_g04021
Solyc07g052540.3.1	NIOBTv3_g22317-D4
Solyc02g090820.3.1	NIOBTv3_g29201
Solyc01g079200.3.1	NIOBTv3_g38923
Solyc08g065940.3.1	NIOBTv3_g30024
Solyc12g014310.2.1	NIOBTv3_g26214
Solyc10g050110.1.1	NIOBTv3_g20808
Solyc00g009110.3.1	NIOBTv3_g00437
Solyc05g052870.3.1	NIOBTv3_g26396
Solyc05g046020.3.1	NIOBTv3_g05756
Solyc12g014420.2.1	NIOBTv3_g34525
Solyc07g017780.3.1	NIOBTv3_g11888
Solyc01g091050.3.1	NIOBTv3_g41442
Solyc02g071610.3.1	NIOBTv3_g25442
Solyc10g054840.2.1	NIOBTv3_g00781
Solyc09g091660.3.1	NIOBTv3_g10347
Solyc01g087820.2.1	NIOBTv3_g41509
Solyc02g092760.3.1	NIOBTv3_g21279
Solyc06g076540.1.1	NIOBTv3_g04460
Solyc08g066660.1.1	NIOBTv3_g03629
Solyc10g085870.1.1	NIOBTv3_g28309
Solyc10g006530.3.1	NIOBTv3_g27316
Solyc01g098645.1.1	NIOBTv3_g29478
Solyc10g008205.1.1	NIOBTv3_g04607
Solyc09g009985.1.1	NIOBTv3_g09014-D4
Solyc01g087130.3.1	NIOBTv3_g31320
Solyc03g006490.3.1	NIOBTv3_g13414
Solyc06g062460.3.1	NIOBTv3_g37001
Solyc08g079850.3.1	NIOBTv3_g38551
Solyc09g072780.2.1	NIOBTv3_g15660
Solyc03g034320.3.1	NIOBTv3_g39345
Solyc11g011330.2.1	NIOBTv3_g08762
Solyc09g065830.3.1	NIOBTv3_g17406
Solyc10g086570.3.1	NIOBTv3_g06558
Solyc04g051820.3.1	NIOBTv3_g22291
Solyc06g062930.1.1	NIOBTv3_g04104
Solyc03g123410.1.1	NIOBTv3_g29884
Solyc09g007920.3.1	NIOBTv3_g27559
Solyc07g049190.3.1	NIOBTv3_g16212
Solyc09g072700.3.1	NIOBTv3_g11799
Solyc08g078920.2.1	NIOBTv3_g39709
Solyc02g077000.3.1	NIOBTv3_g06523
Solyc04g016000.3.1	NIOBTv3_g03048
Solyc05g052540.2.1	NIOBTv3_g12045
Solyc04g082010.1.1	NIOBTv3_g10556
Solyc04g005450.3.1	NIOBTv3_g10651
Solyc04g005920.1.1	NIOBTv3_g34246
Solyc06g075170.1.1	NIOBTv3_g26847
Solyc03g114130.1.1	NIOBTv3_g26565
Solyc02g080450.1.1	NIOBTv3_g33425
Solyc01g087140.3.1	NIOBTv3_g33621
Solyc05g026490.3.1	NIOBTv3_g15800
Solyc02g076670.3.1	NIOBTv3_g10597
Solyc12g087870.2.1	NIOBTv3_g20156
Solyc02g089630.3.1	NIOBTv3_g40355
Solyc05g007580.1.1	NIOBTv3_g39318
Solyc09g065560.3.1	NIOBTv3_g63563
Solyc11g008630.2.1	NIOBTv3_g18225
Solyc06g008340.3.1	NIOBTv3_g26206
Solyc10g008360.2.1	NIOBTv3_g17485
Solyc11g013310.2.1	NIOBTv3_g13515
Solyc11g012580.2.1	NIOBTv3_g02701
Solyc03g119240.3.1	NIOBTv3_g30116
Solyc02g069300.1.1	NIOBTv3_g38575
Solyc01g008640.3.1	NIOBTv3_g29999
Solyc12g006630.2.1	NIOBTv3_g14898
Solyc06g082210.1.1	NIOBTv3_g21067
Solyc11g006890.2.1	NIOBTv3_g17511
Solyc03g114190.1.1	NIOBTv3_g22293
Solyc05g025600.1.1	NIOBTv3_g00335
Solyc11g042630.2.1	NIOBTv3_g31216
Solyc02g086820.3.1	NIOBTv3_g31213
Solyc05g050340.3.1	NIOBTv3_g18104
Solyc08g079980.1.1	NIOBTv3_g27055
Solyc03g083100.3.1	NIOBTv3_g02118
Solyc12g098510.1.1	NIOBTv3_g04472
Solyc01g105760.1.1	NIOBTv3_g09222-D2
Solyc10g007960.1.1	NIOBTv3_g01643
Solyc09g083290.3.1	NIOBTv3_g02602
Solyc03g058910.3.1	NIOBTv3_g25977
Solyc03g119980.3.1	NIOBTv3_g42166
Solyc01g104390.2.1	NIOBTv3_g13186-D2
Solyc05g054360.3.1	NIOBTv3_g33399
Solyc07g066310.3.1	NIOBTv3_g01941
Solyc06g053980.3.1	NIOBTv3_g41116
Solyc02g093020.3.1	NIOBTv3_g05608
Solyc07g056280.3.1	NIOBTv3_g26413
Solyc01g007220.3.1	NIOBTv3_g16958
Solyc08g007130.3.1	NIOBTv3_g09216-D3
Solyc10g083170.2.1	NIOBTv3_g40690
Solyc06g066830.3.1	NIOBTv3_g10688
Solyc11g011020.2.1	NIOBTv3_g32825
Solyc10g008830.2.1	NIOBTv3_g38627
Solyc04g015740.3.1	NIOBTv3_g01879
Solyc05g054900.3.1	NIOBTv3_g07842
Solyc05g011980.3.1	NIOBTv3_g10463
Solyc07g065080.4.1	NIOBTv3_g09912
Solyc06g050700.3.1	NIOBTv3_g06405
Solyc11g073160.2.1	NIOBTv3_g03026
Solyc08g048430.3.1	NIOBTv3_g09104
Solyc07g065660.3.1	NIOBTv3_g36659
Solyc03g115850.3.1	NIOBTv3_g37077
Solyc09g065910.2.1	NIOBTv3_g05181
Solyc02g086280.3.1	NIOBTv3_g26436
Solyc07g065410.1.1	NIOBTv3_g33072
Solyc12g042380.2.1	NIOBTv3_g18391
Solyc03g112390.3.1	NIOBTv3_g31933
Solyc12g056820.2.1	NIOBTv3_g21564
Solyc02g092930.1.1	NIOBTv3_g24949
Solyc03g113130.3.1	NIOBTv3_g32412
Solyc07g006890.1.1	NIOBTv3_g27136
Solyc12g008650.2.1	NIOBTv3_g33903
Solyc08g067510.1.1	NIOBTv3_g30797
Solyc07g043550.3.1	NIOBTv3_g60379
Solyc02g077880.3.1	NIOBTv3_g27957-D2
Solyc08g067960.3.1	NIOBTv3_g34039
Solyc04g074700.3.1	NIOBTv3_g01270
Solyc02g081060.3.1	NIOBTv3_g05271
Solyc02g081060.3.1	NIOBTv3_g05271
Solyc02g081060.3.1	NIOBTv3_g05271
Solyc02g081060.3.1	NIOBTv3_g05271
Solyc07g008280.3.1	NIOBTv3_g16049
Solyc02g071120.3.1	NIOBTv3_g12330
Solyc05g052450.3.1	NIOBTv3_g17420
Solyc06g082940.3.1	NIOBTv3_g31899
Solyc05g009520.1.1	NIOBTv3_g30785
Solyc08g008660.3.1	NIOBTv3_g13108
Solyc02g079980.3.1	NIOBTv3_g36594
Solyc08g068330.3.1	NIOBTv3_g05754
Solyc07g043320.3.1	NIOBTv3_g27637
Solyc10g008970.1.1	NIOBTv3_g63453
Solyc07g007350.1.1	NIOBTv3_g10455
Solyc10g026520.2.1	NIOBTv3_g14665
Solyc05g009470.3.1	NIOBTv3_g38729
Solyc03g051780.2.1	NIOBTv3_g38390
Solyc01g073710.2.1	NIOBTv3_g42242
Solyc01g058540.3.1	NIOBTv3_g13674
Solyc11g012380.1.1	NIOBTv3_g64534
Solyc06g062520.1.1	NIOBTv3_g35213
Solyc03g117670.3.1	NIOBTv3_g08605
Solyc06g053140.3.1	NIOBTv3_g07671
Solyc07g065410.1.1	NIOBTv3_g33072
Solyc12g087870.2.1	NIOBTv3_g20156
Solyc01g080680.3.1	NIOBTv3_g27851
Solyc02g086310.1.1	NIOBTv3_g17357
Solyc10g076760.2.1	NIOBTv3_g14051
Solyc03g120110.3.1	NIOBTv3_g40468
Solyc09g091330.1.1	NIOBTv3_g56405
Solyc09g015350.3.1	NIOBTv3_g18790
Solyc08g082610.3.1	NIOBTv3_g09632
Solyc05g025600.1.1	NIOBTv3_g00335
Solyc10g007310.1.1	NIOBTv3_g10870
Solyc05g050710.3.1	NIOBTv3_g11009
Solyc03g025380.3.1	NIOBTv3_g28611
Solyc01g102740.3.1	NIOBTv3_g31784
Solyc03g115900.3.1	NIOBTv3_g33198
Solyc09g056385.1.1	NIOBTv3_g05966
Solyc06g073190.3.1	NIOBTv3_g41581
Solyc07g006700.1.1	NIOBTv3_g01386
Solyc11g012375.1.1	NIOBTv3_g22518
Solyc08g082750.3.1	NIOBTv3_g11333
Solyc08g078650.3.1	NIOBTv3_g09370
Solyc03g119980.3.1	NIOBTv3_g42166
Solyc10g005060.3.1	NIOBTv3_g36761
Solyc03g044710.3.1	NIOBTv3_g03126
Solyc06g082260.3.1	NIOBTv3_g18512
Solyc05g025600.1.1	NIOBTv3_g00335
Solyc06g083910.3.1	NIOBTv3_g05717
Solyc02g069450.3.1	NIOBTv3_g36554
Solyc06g050440.3.1	NIOBTv3_g21840
Solyc12g010570.1.1	NIOBTv3_g10801
Solyc09g009510.3.1	NIOBTv3_g04580
Solyc12g099650.2.1	NIOBTv3_g23053
Solyc11g008630.2.1	NIOBTv3_g18225
Solyc06g064940.3.1	NIOBTv3_g34252
Solyc05g007770.3.1	NIOBTv3_g12661
Solyc01g066360.3.1	NIOBTv3_g30247
Solyc03g005210.3.1	NIOBTv3_g24317
Solyc10g008000.1.1	NIOBTv3_g25647
Solyc09g091290.1.1	NIOBTv3_g63175
Solyc11g066700.2.1	NIOBTv3_g02946
Solyc01g110940.3.1	NIOBTv3_g40179-D2
Solyc07g055720.3.1	NIOBTv3_g12926
Solyc12g014240.2.1	NIOBTv3_g00604
Solyc02g062030.1.1	NIOBTv3_g21000
Solyc05g007780.3.1	NIOBTv3_g60301
Solyc01g110360.3.1	NIOBTv3_g19986
Solyc06g054260.1.1	NIOBTv3_g07455
Solyc01g074030.3.1	NIOBTv3_g22061
Solyc11g064840.1.1	NIOBTv3_g07418
Solyc12g097095.1.1	NIOBTv3_g39374
Solyc11g072920.2.1	NIOBTv3_g36572
Solyc09g065430.3.1	NIOBTv3_g10285
Solyc08g007460.2.1	NIOBTv3_g14410-D2
Solyc08g008370.3.1	NIOBTv3_g16458
Solyc08g081780.1.1	NIOBTv3_g40301
Solyc02g070070.1.1	NIOBTv3_g28689
Solyc02g062890.2.1	NIOBTv3_g19427
Solyc02g090810.3.1	NIOBTv3_g34461
Solyc05g014530.1.1	NIOBTv3_g37245
Solyc02g065600.3.1	NIOBTv3_g21740
Solyc08g079200.1.1	NIOBTv3_g13176
Solyc09g008980.2.1	NIOBTv3_g39260
Solyc11g007550.1.1	NIOBTv3_g30819
Solyc07g064670.3.1	NIOBTv3_g41250
Solyc01g009880.2.1	NIOBTv3_g08309
Solyc03g115960.3.1	NIOBTv3_g16818
Solyc08g006290.2.1	NIOBTv3_g05664-D2
Solyc08g013670.3.1	NIOBTv3_g13106
Solyc12g089220.2.1	NIOBTv3_g05641
Solyc10g079570.2.1	NIOBTv3_g22984
Solyc02g079950.3.1	NIOBTv3_g38836
Solyc07g054780.1.1	NIOBTv3_g05506
Solyc07g037960.1.1	NIOBTv3_g04054
Solyc01g110940.3.1	NIOBTv3_g40179-D2
Solyc06g005710.3.1	NIOBTv3_g19938
Solyc05g007890.3.1	NIOBTv3_g24131
Solyc02g090680.3.1	NIOBTv3_g28814
Solyc04g072850.3.1	NIOBTv3_g15162
Solyc03g120060.2.1	NIOBTv3_g25593
Solyc01g059980.3.1	NIOBTv3_g28305
Solyc03g119980.3.1	NIOBTv3_g42166
Solyc05g053100.3.1	NIOBTv3_g28478
Solyc01g107540.3.1	NIOBTv3_g34335
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc09g092640.3.1	NIOBTv3_g03489
Solyc04g005610.3.1	NIOBTv3_g22805
Solyc10g005050.3.1	NIOBTv3_g38728
Solyc03g095710.3.1	NIOBTv3_g23312
Solyc07g062560.3.1	NIOBTv3_g32919
Solyc02g069730.3.1	NIOBTv3_g21870
Solyc05g010330.3.1	NIOBTv3_g30915
Solyc05g005680.3.1	NIOBTv3_g23462
Solyc04g071165.1.1	NIOBTv3_g25588
Solyc05g054440.3.1	NIOBTv3_g30755
Solyc07g063340.3.1	NIOBTv3_g11259
Solyc07g061980.2.1	NIOBTv3_g21442
Solyc04g074850.3.1	NIOBTv3_g35884
Solyc05g054480.3.1	NIOBTv3_g33830
Solyc07g062970.3.1	NIOBTv3_g35239
Solyc06g061090.3.1	NIOBTv3_g25059
Solyc04g008740.3.1	NIOBTv3_g22535
Solyc01g067460.2.1	NIOBTv3_g10502
Solyc01g104390.2.1	NIOBTv3_g13186-D2
Solyc05g053210.3.1	NIOBTv3_g19154
Solyc07g066150.1.1	NIOBTv3_g10782
Solyc05g005870.3.1	NIOBTv3_g22124
Solyc01g005510.3.1	NIOBTv3_g18900
Solyc04g007990.1.1	NIOBTv3_g34167
Solyc09g091350.1.1	NIOBTv3_g63592
Solyc08g061490.3.1	NIOBTv3_g13386
Solyc06g051220.1.1	NIOBTv3_g12126
Solyc09g056385.1.1	NIOBTv3_g05966
Solyc06g035580.3.1	NIOBTv3_g11395
Solyc03g112320.3.1	NIOBTv3_g31939
Solyc10g083970.1.1	NIOBTv3_g44246
Solyc06g067860.3.1	NIOBTv3_g10687
Solyc10g084120.2.1	NIOBTv3_g01362
Solyc09g091060.3.1	NIOBTv3_g33605
Solyc02g079500.4.1	NIOBTv3_g29281
Solyc01g087590.3.1	NIOBTv3_g00653
Solyc09g066030.2.1	NIOBTv3_g00484
Solyc01g008640.3.1	NIOBTv3_g29999
Solyc06g065950.3.1	NIOBTv3_g00961-D2
Solyc04g082010.1.1	NIOBTv3_g10556
Solyc02g076860.3.1	NIOBTv3_g35899
Solyc04g014790.1.1	NIOBTv3_g17769
Solyc11g065280.1.1	NIOBTv3_g32181
Solyc02g067450.3.1	NIOBTv3_g35755
Solyc09g057960.1.1	NIOBTv3_g33820
Solyc03g006700.3.1	NIOBTv3_g05139
Solyc04g080820.2.1	NIOBTv3_g38915
Solyc03g120180.2.1	NIOBTv3_g08818
Solyc12g042770.2.1	NIOBTv3_g31157
Solyc01g008640.3.1	NIOBTv3_g29999
Solyc05g055730.3.1	NIOBTv3_g36255
Solyc00g006800.3.1	NIOBTv3_g14488
Solyc02g080610.3.1	NIOBTv3_g09921
Solyc05g017950.3.1	NIOBTv3_g17574
Solyc06g071100.3.1	NIOBTv3_g16612
Solyc07g066640.3.1	NIOBTv3_g65494
Solyc03g120640.3.1	NIOBTv3_g26930
Solyc12g010710.1.1	NIOBTv3_g26276
Solyc07g007930.3.1	NIOBTv3_g36463
Solyc03g120740.1.1	NIOBTv3_g26769
Solyc04g078060.1.1	NIOBTv3_g29833
Solyc10g055810.2.1	NIOBTv3_g31315
Solyc05g056080.3.1	NIOBTv3_g01501
Solyc10g049280.2.1	NIOBTv3_g23991
Solyc07g053200.3.1	NIOBTv3_g12137
Solyc02g083540.3.1	NIOBTv3_g03374
Solyc12g036325.1.1	NIOBTv3_g35442
Solyc12g098600.1.1	NIOBTv3_g56149
Solyc08g007240.3.1	NIOBTv3_g12511-D2
Solyc07g044890.1.1	NIOBTv3_g53460
Solyc03g019750.3.1	NIOBTv3_g18985
Solyc01g099385.1.1	NIOBTv3_g32541
Solyc02g082080.1.1	NIOBTv3_g56227
Solyc05g055860.3.1	NIOBTv3_g41478
Solyc09g097970.3.1	NIOBTv3_g01203
Solyc06g084180.3.1	NIOBTv3_g23619
Solyc09g091350.1.1	NIOBTv3_g63592
Solyc08g066610.3.1	NIOBTv3_g23788
Solyc11g072920.2.1	NIOBTv3_g36572
Solyc04g048950.3.1	NIOBTv3_g17789
Solyc12g100190.2.1	NIOBTv3_g55604
Solyc07g056280.3.1	NIOBTv3_g26413
Solyc02g065400.3.1	NIOBTv3_g07505
Solyc07g064030.3.1	NIOBTv3_g36164
Solyc07g056230.3.1	NIOBTv3_g40013
Solyc12g096590.2.1	NIOBTv3_g00558-D3
Solyc09g091330.1.1	NIOBTv3_g56405
Solyc01g095450.3.1	NIOBTv3_g04344
Solyc04g078410.3.1	NIOBTv3_g23592
Solyc10g050220.2.1	NIOBTv3_g09514
Solyc12g006997.1.1	NIOBTv3_g34787
Solyc06g006000.3.1	NIOBTv3_g05891
Solyc02g087480.3.1	NIOBTv3_g13479
Solyc10g076780.1.1	NIOBTv3_g14052
Solyc08g068150.3.1	NIOBTv3_g03681
Solyc09g091350.1.1	NIOBTv3_g63592
Solyc04g005700.3.1	NIOBTv3_g56193-D2
Solyc08g080670.1.1	NIOBTv3_g38445
Solyc08g079235.1.1	NIOBTv3_g39707
Solyc01g079200.3.1	NIOBTv3_g38923
Solyc12g014580.2.1	NIOBTv3_g23884
Solyc04g064710.3.1	NIOBTv3_g15941
Solyc06g005300.3.1	NIOBTv3_g33975
Solyc11g006250.2.1	NIOBTv3_g33274
Solyc01g104400.3.1	NIOBTv3_g03423
Solyc02g079280.3.1	NIOBTv3_g16262
Solyc01g009600.3.1	NIOBTv3_g17666
Solyc07g017560.3.1	NIOBTv3_g07271
Solyc12g088910.2.1	NIOBTv3_g17782
Solyc07g021020.3.1	NIOBTv3_g02566
Solyc01g109040.3.1	NIOBTv3_g08088
Solyc03g120290.3.1	NIOBTv3_g14919
Solyc01g080890.2.1	NIOBTv3_g15662
Solyc08g067310.1.1	NIOBTv3_g11405
Solyc04g071295.1.1	NIOBTv3_g61760
Solyc11g010320.1.1	NIOBTv3_g05707
Solyc02g078380.3.1	NIOBTv3_g11928
Solyc10g054915.1.1	NIOBTv3_g36848-D3
Solyc03g020050.3.1	NIOBTv3_g08755
Solyc12g087860.2.1	NIOBTv3_g36900
Solyc06g065990.1.1	NIOBTv3_g01739
Solyc09g007060.2.1	NIOBTv3_g02835
Solyc03g097560.3.1	NIOBTv3_g39235
Solyc10g077131.1.1	NIOBTv3_g55405
Solyc12g094700.2.1	NIOBTv3_g02294
Solyc02g063030.3.1	NIOBTv3_g37165
Solyc03g116490.1.1	NIOBTv3_g32266
Solyc06g063050.3.1	NIOBTv3_g09727
Solyc12g010910.2.1	NIOBTv3_g01141
Solyc04g078900.3.1	NIOBTv3_g23306
Solyc02g076820.3.1	NIOBTv3_g26008
Solyc09g011103.1.1	NIOBTv3_g51299
Solyc12g042460.2.1	NIOBTv3_g15235
Solyc12g007070.2.1	NIOBTv3_g02892
Solyc08g081540.3.1	NIOBTv3_g24774
Solyc09g091990.3.1	NIOBTv3_g20193
Solyc06g068340.2.1	NIOBTv3_g36964
Solyc03g078330.1.1	NIOBTv3_g31635
Solyc09g082840.1.1	NIOBTv3_g39530
Solyc06g074820.3.1	NIOBTv3_g27353
Solyc04g074640.3.1	NIOBTv3_g26025
Solyc08g079080.4.1	NIOBTv3_g13751
Solyc04g014520.1.1	NIOBTv3_g06196
Solyc01g088400.3.1	NIOBTv3_g36222
Solyc03g020010.1.1	NIOBTv3_g32716
Solyc09g011970.2.1	NIOBTv3_g27562
Solyc08g076220.3.1	NIOBTv3_g25100
Solyc02g069240.1.1	NIOBTv3_g26574
Solyc08g061240.2.1	NIOBTv3_g33229
Solyc10g037880.2.1	NIOBTv3_g01228
Solyc05g051530.3.1	NIOBTv3_g00250
Solyc07g005210.3.1	NIOBTv3_g10076
Solyc07g049690.3.1	NIOBTv3_g36533
Solyc08g080180.1.1	NIOBTv3_g18142
Solyc07g054210.3.1	NIOBTv3_g39085
Solyc02g077080.3.1	NIOBTv3_g15923
Solyc02g079280.3.1	NIOBTv3_g16262
Solyc03g026210.3.1	NIOBTv3_g37935
Solyc04g049550.3.1	NIOBTv3_g23556
Solyc05g050340.3.1	NIOBTv3_g18104
Solyc08g082190.3.1	NIOBTv3_g37333
Solyc09g065910.2.1	NIOBTv3_g05181
Solyc05g026550.3.1	NIOBTv3_g26275
Solyc01g080460.3.1	NIOBTv3_g29964
Solyc10g007270.3.1	NIOBTv3_g00604-D2
Solyc10g086710.2.1	NIOBTv3_g32901
Solyc12g098580.1.1	NIOBTv3_g21654
Solyc06g062820.3.1	NIOBTv3_g16109
Solyc08g065500.2.1	NIOBTv3_g26637
Solyc08g005610.3.1	NIOBTv3_g38884
Solyc04g076870.3.1	NIOBTv3_g39051
Solyc04g009630.3.1	NIOBTv3_g37679
Solyc11g031950.1.1	NIOBTv3_g09275
Solyc04g071900.3.1	NIOBTv3_g04248-D4
Solyc01g110920.3.1	NIOBTv3_g63326-D2
Solyc02g083090.1.1	NIOBTv3_g37096
Solyc10g086090.2.1	NIOBTv3_g32206
Solyc02g088460.3.1	NIOBTv3_g10384
Solyc09g091670.3.1	NIOBTv3_g10346
Solyc02g032950.3.1	NIOBTv3_g32819
Solyc02g070110.1.1	NIOBTv3_g40311
Solyc04g016490.3.1	NIOBTv3_g12299
Solyc02g063270.3.1	NIOBTv3_g16453
Solyc03g005140.2.1	NIOBTv3_g12814
Solyc02g089900.1.1	NIOBTv3_g10571
Solyc09g082845.1.1	NIOBTv3_g39530
Solyc01g099590.3.1	NIOBTv3_g39947
Solyc01g095620.3.1	NIOBTv3_g23176
Solyc09g091350.1.1	NIOBTv3_g63592
